Date,Open,High,Low,Close,Volume,Adj Close
2016-07-06,8.80,8.82,8.76,8.79,32295000,8.79
2016-07-05,8.80,8.83,8.77,8.81,42203700,8.81
2016-07-04,8.69,8.86,8.67,8.81,60825700,8.81
2016-07-01,8.69,8.73,8.68,8.71,34893000,8.71
2016-06-30,8.69,8.74,8.66,8.70,36220400,8.70
2016-06-29,8.63,8.69,8.62,8.69,36961100,8.69
2016-06-28,8.58,8.64,8.56,8.63,33651900,8.63
2016-06-27,8.57,8.64,8.54,8.61,32521400,8.61
2016-06-24,8.64,8.70,8.52,8.57,42766400,8.57
2016-06-23,8.67,8.70,8.63,8.66,33561400,8.66
2016-06-22,8.60,8.73,8.58,8.73,47800200,8.73
2016-06-21,8.61,8.65,8.58,8.61,38074900,8.61
2016-06-20,8.59,8.60,8.56,8.60,27073100,8.60
2016-06-17,8.57,8.61,8.54,8.58,31517300,8.58
2016-06-16,8.57,8.60,8.53,8.57,38667000,8.57
2016-06-15,10.33,10.48,10.32,10.44,45380600,8.5725
2016-06-14,10.34,10.41,10.32,10.40,27363700,8.53965
2016-06-13,10.46,10.47,10.33,10.33,34481600,8.48218
2016-06-10,10.50,10.50,10.50,10.50,000,8.62177
2016-06-09,10.50,10.50,10.50,10.50,000,8.62177
2016-06-08,12.648,12.648,12.552,12.60,26818800,10.34612
2016-06-07,12.624,12.636,12.576,12.624,22928200,10.36583
2016-06-06,12.612,12.636,12.54,12.612,33833200,10.35597
2016-06-03,12.564,12.624,12.492,12.60,42338900,10.34612
2016-06-02,12.564,12.576,12.504,12.552,29303600,10.30671
2016-06-01,12.612,12.66,12.528,12.576,55675000,10.32641
2016-05-31,12.312,12.684,12.312,12.66,94646700,10.39539
2016-05-30,12.30,12.336,12.24,12.336,38094600,10.12934
2016-05-27,12.264,12.348,12.228,12.324,22281800,10.11949
2016-05-26,12.264,12.324,12.204,12.264,26139600,10.07022
2016-05-25,12.30,12.336,12.228,12.276,20423500,10.08008
2016-05-24,12.324,12.336,12.228,12.252,25929400,10.06037
2016-05-23,12.396,12.408,12.30,12.336,32364600,10.12934
2016-05-20,12.288,12.396,12.228,12.36,20670300,10.14905
2016-05-19,12.324,12.384,12.30,12.30,17077700,10.09978
2016-05-18,12.348,12.384,12.204,12.36,53415000,10.14905
2016-05-17,12.432,12.444,12.288,12.36,25042400,10.14905
2016-05-16,12.384,12.432,12.30,12.432,21522400,10.20817
2016-05-13,12.42,12.48,12.396,12.42,18426600,10.19832
2016-05-12,12.372,12.48,12.30,12.456,32588500,10.22788
2016-05-11,12.36,12.528,12.36,12.444,32728900,10.21803
2016-05-10,12.408,12.444,12.324,12.336,29259900,10.12934
2016-05-09,12.60,12.636,12.384,12.42,41117100,10.19832
2016-05-06,12.876,12.876,12.624,12.624,34654500,10.36583
2016-05-05,12.828,12.864,12.78,12.864,23951600,10.5629
2016-05-04,12.816,12.90,12.792,12.864,41243500,10.5629
2016-05-03,12.696,12.864,12.624,12.816,48910200,10.52348
2016-05-02,12.684,12.684,12.684,12.684,000,10.41509
2016-04-29,12.768,12.768,12.66,12.684,40497700,10.41509
2016-04-28,12.696,12.912,12.648,12.792,45746000,10.50378
2016-04-27,12.696,12.732,12.624,12.684,23955300,10.41509
2016-04-26,12.576,12.72,12.552,12.708,29169900,10.4348
2016-04-25,12.672,12.672,12.504,12.60,34925700,10.34612
2016-04-22,12.552,12.744,12.492,12.66,35967700,10.39539
2016-04-21,12.624,12.756,12.54,12.612,55879900,10.35597
2016-04-20,12.924,12.936,12.432,12.624,60658600,10.36583
2016-04-19,12.924,12.972,12.852,12.924,21823900,10.61216
2016-04-18,12.984,13.02,12.876,12.876,35065400,10.57275
2016-04-15,13.008,13.128,12.96,13.056,49722400,10.72055
2016-04-14,13.056,13.08,12.948,13.008,32364600,10.68114
2016-04-13,12.876,13.164,12.852,12.972,85676000,10.65158
2016-04-12,12.84,12.852,12.744,12.804,29859900,10.51363
2016-04-11,12.72,12.96,12.72,12.864,78638600,10.5629
2016-04-08,12.66,12.804,12.60,12.684,37655300,10.41509
2016-04-07,12.864,12.876,12.708,12.708,37771900,10.4348
2016-04-06,12.816,12.90,12.732,12.864,43525900,10.5629
2016-04-05,12.744,12.972,12.60,12.84,59230800,10.54319
2016-04-04,12.792,12.792,12.792,12.792,000,10.50378
2016-04-01,12.744,12.828,12.60,12.792,36934100,10.50378
2016-03-31,12.852,12.90,12.768,12.768,41838700,10.48407
