Date,Open,High,Low,Close,Volume,Adj Close
2016-07-06,15.71,15.76,15.61,15.64,22976500,15.64
2016-07-05,15.94,15.95,15.75,15.79,16171600,15.79
2016-07-04,15.86,16.03,15.80,15.93,21411600,15.93
2016-07-01,15.57,15.96,15.54,15.92,25106400,15.92
2016-06-30,15.50,15.66,15.44,15.57,20735800,15.57
2016-06-29,15.29,15.54,15.28,15.50,21253300,15.50
2016-06-28,15.27,15.30,15.18,15.28,12559800,15.28
2016-06-27,15.29,15.39,15.18,15.31,19163400,15.31
2016-06-24,15.70,15.79,15.08,15.28,30575500,15.28
2016-06-23,15.90,15.90,15.71,15.72,12882200,15.72
2016-06-22,16.1818,16.2727,16.1636,16.2636,15650200,14.31691
2016-06-21,17.88,17.95,17.75,17.78,15852800,15.6518
2016-06-20,17.93,17.93,17.75,17.85,9681400,15.71342
2016-06-17,17.75,17.99,17.74,17.77,17412200,15.643
2016-06-16,19.437,19.723,19.36,19.58,30871100,17.23635
2016-06-15,19.371,19.536,19.305,19.514,26332100,17.17825
2016-06-14,19.547,19.613,19.47,19.569,18773300,17.22667
2016-06-13,19.646,19.734,19.547,19.558,30051500,17.21698
2016-06-10,19.789,19.789,19.789,19.789,000,17.42033
2016-06-09,19.789,19.789,19.789,19.789,000,17.42033
2016-06-08,19.811,19.877,19.767,19.789,23758300,17.42033
2016-06-07,19.91,19.943,19.767,19.822,16533900,17.44938
2016-06-06,19.855,19.921,19.767,19.822,17856200,17.44938
2016-06-03,19.932,19.943,19.69,19.811,18003500,17.4397
2016-06-02,20.02,20.13,19.723,19.822,17786500,17.44938
2016-06-01,20.13,20.185,19.943,20.009,18312400,17.614
2016-05-31,19.723,20.24,19.712,20.119,35631500,17.71083
2016-05-30,19.624,19.767,19.448,19.745,17538100,17.3816
2016-05-27,19.459,19.547,19.393,19.514,11621200,17.17825
2016-05-26,19.415,19.646,19.415,19.47,11065000,17.13952
2016-05-25,19.448,19.503,19.36,19.437,13766200,17.11047
2016-05-24,19.228,19.36,19.173,19.305,10725900,16.99426
2016-05-23,19.25,19.448,19.184,19.305,14080600,16.99426
2016-05-20,19.041,19.25,18.997,19.195,11140600,16.89743
2016-05-19,19.184,19.239,19.063,19.085,10380800,16.8006
2016-05-18,18.975,19.382,18.722,19.316,30962400,17.00395
2016-05-17,19.019,19.074,18.876,18.975,9765100,16.70377
2016-05-16,18.953,19.085,18.931,19.019,11045600,16.7425
2016-05-13,19.107,19.206,18.942,18.964,11013800,16.69408
2016-05-12,19.173,19.25,18.92,19.151,14668900,16.8587
2016-05-11,19.305,19.327,19.14,19.195,11941100,16.89743
2016-05-10,19.118,19.316,19.118,19.228,16846600,16.92648
2016-05-09,19.481,19.58,19.14,19.261,21947500,16.95553
2016-05-06,19.877,19.91,19.481,19.503,23406700,17.16857
2016-05-05,19.866,19.932,19.778,19.866,14936600,17.48812
2016-05-04,19.866,20.053,19.822,19.888,23118900,17.50748
2016-05-03,19.745,20.064,19.613,19.932,27776700,17.54622
2016-05-02,19.613,19.613,19.613,19.613,000,17.2654
2016-04-29,19.613,19.734,19.525,19.613,23065900,17.2654
2016-04-28,19.723,19.91,19.613,19.69,15728400,17.33318
2016-04-27,19.767,19.767,19.58,19.646,13838800,17.29445
2016-04-26,19.657,19.888,19.525,19.712,15739400,17.35255
2016-04-25,19.965,19.976,19.602,19.668,24294300,17.31382
2016-04-22,19.80,20.196,19.734,20.064,28178100,17.66242
2016-04-21,19.602,20.185,19.525,19.932,48212900,17.54622
2016-04-20,19.679,19.789,19.041,19.756,46614600,17.39128
2016-04-19,19.745,19.778,19.558,19.69,27246300,17.33318
2016-04-18,19.525,19.833,19.426,19.591,28084100,17.24603
2016-04-15,19.745,19.866,19.58,19.679,34773500,17.3235
2016-04-14,19.69,19.811,19.525,19.58,15796200,17.23635
2016-04-13,19.503,19.789,19.459,19.514,35189700,17.17825
2016-04-12,19.459,19.47,19.283,19.382,14100700,17.06205
2016-04-11,19.36,19.602,19.305,19.437,24117600,17.11047
2016-04-08,19.316,19.536,19.283,19.36,17132200,17.04268
2016-04-07,19.745,19.80,19.393,19.459,29047700,17.12983
2016-04-06,19.833,19.954,19.657,19.756,23428700,17.39128
2016-04-05,19.734,20.119,19.536,19.987,42622200,17.59463
2016-04-04,19.998,19.998,19.998,19.998,000,17.60432
2016-04-01,19.778,20.075,19.371,19.998,35790500,17.60432
2016-03-31,19.778,19.888,19.492,19.723,23762100,17.36223
2016-03-30,19.415,19.745,19.415,19.657,35562100,17.30413
2016-03-29,19.283,19.426,19.107,19.195,19151100,16.89743
2016-03-28,19.558,19.80,19.107,19.195,24521600,16.89743
2016-03-25,19.492,19.657,19.448,19.514,13619100,17.17825
2016-03-24,19.921,19.921,19.448,19.492,27448200,17.15888
2016-03-23,19.976,20.185,19.866,19.943,27830700,17.5559
2016-03-22,19.899,20.493,19.822,19.965,43760800,17.57527
2016-03-21,19.558,20.075,19.558,19.866,42001500,17.48812
2016-03-18,19.569,19.80,19.415,19.624,55987900,17.27508
2016-03-17,19.591,20.009,19.195,19.47,68635800,17.13952
2016-03-16,18.612,19.877,18.601,19.833,108404300,17.45907
2016-03-15,18.645,18.909,18.491,18.722,37540900,16.48105
2016-03-14,18.568,19.217,18.502,18.546,56922200,16.32612
2016-03-11,19.261,19.283,18.271,18.667,98240300,16.43263
2016-03-10,20.295,20.295,20.295,20.295,000,17.86577
2016-03-09,20.295,20.295,20.295,20.295,000,17.86577
2016-03-08,20.295,20.295,20.295,20.295,000,17.86577
2016-03-07,20.295,20.295,20.295,20.295,000,17.86577
2016-03-04,20.295,20.295,20.295,20.295,000,17.86577
2016-03-03,20.295,20.295,20.295,20.295,000,17.86577
2016-03-02,20.295,20.295,20.295,20.295,000,17.86577
2016-03-01,20.295,20.295,20.295,20.295,000,17.86577
2016-02-29,20.295,20.295,20.295,20.295,000,17.86577
2016-02-26,20.295,20.295,20.295,20.295,000,17.86577
2016-02-25,20.295,20.295,20.295,20.295,000,17.86577
2016-02-24,20.295,20.295,20.295,20.295,000,17.86577
2016-02-23,20.295,20.295,20.295,20.295,000,17.86577
2016-02-22,20.295,20.295,20.295,20.295,000,17.86577
2016-02-19,20.295,20.295,20.295,20.295,000,17.86577
2016-02-18,20.295,20.295,20.295,20.295,000,17.86577
2016-02-17,20.295,20.295,20.295,20.295,000,17.86577
2016-02-16,20.295,20.295,20.295,20.295,000,17.86577
2016-02-15,19.778,20.328,19.58,20.295,67296300,17.86577
2016-02-12,20.218,20.218,20.218,20.218,000,17.79798
2016-02-11,20.218,20.218,20.218,20.218,000,17.79798
2016-02-10,20.218,20.218,20.218,20.218,000,17.79798
2016-02-09,20.218,20.218,20.218,20.218,000,17.79798
2016-02-08,20.218,20.218,20.218,20.218,000,17.79798
2016-02-05,18.964,20.229,18.865,20.218,78413400,17.79798
2016-02-04,18.524,19.052,18.293,19.03,47162800,16.75218
2016-02-03,18.26,18.326,18.095,18.271,27779100,16.08403
2016-02-02,18.15,18.634,18.106,18.436,25380900,16.22928
2016-02-01,18.689,18.70,18.051,18.15,29139500,15.97751
2016-01-29,18.172,18.755,18.051,18.59,47429000,16.36485
2016-01-28,18.436,18.502,17.468,18.238,38902100,16.05498
2016-01-27,18.425,18.678,18.161,18.348,44291300,16.15182
2016-01-26,18.656,18.854,18.04,18.326,38279700,16.13245
2016-01-25,18.70,18.887,18.392,18.733,23558900,16.49073
2016-01-22,18.524,18.821,18.139,18.722,42007300,16.48105
2016-01-21,18.942,19.206,18.15,18.238,34197100,16.05498
2016-01-20,19.371,19.47,18.788,18.975,35968600,16.70377
2016-01-19,19.558,19.668,19.25,19.547,29807100,17.2073
2016-01-18,19.173,19.789,19.052,19.448,32729000,17.12015
2016-01-15,19.58,19.965,19.272,19.338,46723100,17.02332
2016-01-14,18.70,19.789,18.579,19.712,54838800,17.35255
2016-01-13,19.327,19.69,19.085,19.129,47869300,16.83933
2016-01-12,18.887,19.272,18.788,19.195,55374400,16.89743
2016-01-11,18.931,19.195,18.656,18.755,90177100,16.5101
2016-01-08,19.514,19.668,18.601,19.239,71918200,16.93617
2016-01-07,19.58,19.69,19.14,19.261,11350400,16.95553
2016-01-06,19.69,19.954,19.459,19.91,46772600,17.52685
2016-01-05,19.261,19.866,19.14,19.756,58054700,17.39128
2016-01-04,20.108,20.108,19.305,19.58,42240600,17.23635
2016-01-01,20.097,20.097,20.097,20.097,000,17.69147
2015-12-31,20.372,20.372,20.086,20.097,27936100,17.69147
2015-12-30,20.581,20.658,20.141,20.427,35687300,17.98197
2015-12-29,20.493,20.812,20.229,20.614,47288400,18.14658
2015-12-28,21.307,21.373,20.482,20.57,49980600,18.10785
2015-12-25,20.922,21.428,20.823,21.252,55427900,18.70822
2015-12-24,20.735,21.054,20.537,20.944,57171500,18.43708
2015-12-23,20.801,21.043,20.471,20.768,66128100,18.28215
2015-12-22,20.911,21.219,20.647,20.79,53122700,18.30152
2015-12-21,20.669,21.34,20.394,21.054,82490000,18.53392
2015-12-18,20.339,21.78,20.273,20.691,92211900,18.21437
2015-12-17,20.086,20.471,20.02,20.339,53304000,17.9045
2015-12-16,20.196,20.295,19.921,19.998,38700600,17.60432
2015-12-15,20.284,20.702,19.987,20.141,51685700,17.7302
2015-12-14,20.141,20.493,19.833,20.295,70736900,17.86577
2015-12-11,20.911,21.142,20.273,20.46,87066800,18.01102
2015-12-10,21.274,21.868,21.021,21.197,57091300,18.6598
2015-12-09,21.538,21.538,21.021,21.153,92049400,18.62107
2015-12-08,21.208,22.132,20.691,22.11,239884900,19.46352
2015-12-07,20.581,21.45,20.581,21.395,83346800,18.8341
2015-12-04,21.197,21.197,20.559,20.581,70275800,18.11753
2015-12-03,21.67,21.747,21.142,21.175,110346300,18.64043
2015-12-02,20.361,22.00,20.328,21.835,153608000,19.22143
2015-12-01,20.185,20.90,19.888,20.526,63430500,18.06912
2015-11-30,20.284,20.691,19.36,20.515,97633800,18.05943
2015-11-27,21.076,21.362,20.24,20.383,105608700,17.94323
2015-11-26,21.45,21.67,21.12,21.307,214944200,18.75663
2015-11-25,20.79,21.648,20.284,21.637,326524700,19.04713
2015-11-24,20.79,21.032,20.449,20.955,129389100,18.44677
2015-11-23,20.361,21.043,20.284,20.966,171203700,18.45645
2015-11-20,19.591,20.493,19.558,20.317,148206200,17.88513
2015-11-19,19.03,19.789,19.03,19.69,102543400,17.33318
2015-11-18,19.217,19.448,18.964,19.129,57584500,16.83933
2015-11-17,19.206,19.591,19.162,19.184,63539200,16.88775
2015-11-16,19.074,19.338,18.92,19.162,45144600,16.86838
2015-11-13,18.92,19.36,18.865,19.338,73433100,17.02332
2015-11-12,19.58,19.613,18.865,19.096,77790100,16.81028
2015-11-11,20.251,20.339,19.25,19.503,92130200,17.16857
2015-11-10,19.80,20.559,19.602,20.207,140427100,17.7883
